Locus,Gene,Category,LocusGroup,Source,Comments
IGK,1-ACZ,Non-functional,main,Fig2,
IGK,2-AEF,Functional,main,Fig2,
IGK,2-ADA,Functional,main,Fig2,
IGK,1-ABV,Functional,main,Fig2,
IGK,2-ABJ,Non-functional,main,Fig2,
IGK,2-ADJ,Functional,main,Fig2,
IGK,1-ABE,Non-functional,main,Fig2,
IGK,2-AEC,Non-functional,main,Fig2,
IGK,1-AEA,Functional,main,Fig2,
IGK,2-AAM,Non-functional,main,Fig2,
IGK,2-ADS,Non-functional,main,Fig2,
IGK,1-AAG,Non-functional,main,Fig2,
IGK,1-ABM,Functional,main,Fig2,
IGK,2-ADZ,Functional,main,Fig2,
IGK,1-ABY,Non-functional,main,Fig2,
IGK,2-AEM,Functional,main,Fig2,
IGK,1-ADX,Non-functional,main,Fig2,
IGK,2-ABB,Functional,main,Fig2,
IGK,1-ADL,Non-functional,main,Fig2,
IGK,2-AAO,Functional,main,Fig2,
IGK,3-ACP,Non-functional,main,Fig2,
IGK,1-ABL,Functional,main,Fig2,
IGK,2-ACG,Non-functional,main,Fig2,
IGK,2-AEN,Functional,main,Fig2,
IGK,2-AAI,Functional,main,Fig2,
IGK,3-AAV,Non-functional,main,Fig2,
IGK,1-ACN,Non-functional,main,Fig2,
IGK,2-ABS,Non-functional,main,Fig2,
IGK,2-AEL,Functional,main,Fig2,
IGK,1-ABI,Non-functional,main,Fig2,
IGK,1-ACA,Non-functional,main,Fig2,
IGK,3-AAJ,Non-functional,main,Fig2,
IGK,1-ABP,Non-functional,main,Fig2,
IGK,1-ACY,Functional,main,Fig2,
IGK,3-AEO,Non-functional,main,Fig2,
IGK,2-ADQ,Non-functional,main,Fig2,
IGK,2-ACB,Functional,main,Fig2,
IGK,2-ACR,Functional,main,Fig2,
IGK,2-ABQ,Non-functional,main,Fig2,
IGK,3-AAF,Non-functional,main,Fig2,
IGK,2-AAC,Non-functional,main,Fig2,
IGK,2-AAE,Functional,main,Fig2,
IGK,2-ABH,Non-functional,main,Fig2,
IGK,1-ADM,Non-functional,main,Fig2,
IGK,2-AEB,Functional,main,Fig2,
IGK,2-ACD,Non-functional,main,Fig2,
IGL,3-ACZ,Non-functional,,Fig3,
IGL,3-ADY,Non-functional,,Fig3,
IGL,3-ABH,Non-functional,,Fig3,
IGL,3-ACA,Non-functional,,Fig3,
IGL,3-ADH,Non-functional,,Fig3,
IGL,3-ADX,Non-functional,,Fig3,
IGL,2-ABC,Non-functional,,Fig3,
IGL,4-ADO,Non-functional,,Fig3,
IGL,3-ABM,Non-functional,,Fig3,
IGL,2-ABX,Functional,,Fig3,
IGL,3-ABA,Non-functional,,Fig3,
IGL,2-ABU,Functional,,Fig3,
IGL,3-ACB,Functional,,Fig3,
IGL,3-ACI,Non-functional,,Fig3,
IGL,4-ACP,Non-functional,,Fig3,
IGL,3-ADG,Non-functional,,Fig3,
IGL,2-ABJ,Functional,,Fig3,
IGL,3-AAJ,Functional,,Fig3,
IGL,3-AAR,Non-functional,,Fig3,
IGL,2-ABE,Functional,,Fig3,
IGL,2-ACS,Non-functional,,Fig3,
IGL,3-ABF,Non-functional,,Fig3,
IGL,2-ADK,Functional,,Fig3,
